benchmark	path	run	metric	value_ms	status
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.cli.parse-args	0.303	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.cli.load-package	0.608	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module-graph	1.549	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module-order	0.210	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.normalize-type-families	0.759	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.reject-generalized-class-features	0.298	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.resolve	11.918	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.modules.distinct	0.244	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.Prelude.cache	677.371	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module-interface.Prelude	0.270	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.ParserParitySource.preflight	0.408	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.ParserParitySource.import-scope	0.309	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.ParserParitySource.local-data	0.334	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.ParserParitySource.local-classes	0.297	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.ParserParitySource.local-defs	1.456	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.ParserParitySource.local-values	0.439	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.ParserParitySource.scopes	0.364	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.ParserParitySource.validations	0.311	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.ParserParitySource.derived-instances	0.315	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.ParserParitySource.instance-skeletons	0.308	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.ParserParitySource.finalize-context	0.802	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.constructor_SourceInputNil	13.384	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.constructor_SourceInputCons	41.493	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.constructor_SourceSymbol	16.824	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.constructor_SourceUnknown	10.671	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.ParserParitySource.constructor-bindings	84.515	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.instance_methods_group_finalize	0.292	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.ParserParitySource.instance-bindings	0.870	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_sourceInputNil_lower	0.499	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_sourceInputCons_lower	0.310	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_renderSpan_lower	0.278	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_basicModuleSpan_lower	0.272	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_basicModuleKeywordSpan_lower	0.293	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_basicModuleNameSpan_lower	0.287	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_basicExportKeywordSpan_lower	0.293	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_basicExportLeftParenSpan_lower	0.300	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_basicExportMainSpan_lower	0.282	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_basicExportRightParenSpan_lower	0.302	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_basicModuleLeftBraceSpan_lower	0.304	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_basicDefKeywordSpan_lower	0.283	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_basicDefNameSpan_lower	0.275	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_basicDefColonSpan_lower	0.290	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_basicBoolTypeSpan_lower	0.277	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_basicDefEqualsSpan_lower	0.279	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_basicBoolLiteralSpan_lower	0.286	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_basicDefSemicolonSpan_lower	0.290	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_basicModuleRightBraceSpan_lower	0.299	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_basicMainDefSpan_lower	0.288	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_basicUnexpectedSpan_lower	0.289	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_lexerUnknownSpan_lower	0.273	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_importBoolModuleSpan_lower	0.285	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_importBoolModuleNameRefSpan_lower	0.311	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_importBoolExportMainSpan_lower	0.305	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_importBoolTypeSpan_lower	0.382	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_importBoolMainDefSpan_lower	0.297	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_importBoolSemicolonSpan_lower	0.321	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_importBoolDefEqualsSpan_lower	0.298	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_valueModuleSpan_lower	0.285	1
