benchmark	path	metric	runs	min_ms	median_ms	max_ms	mean_ms	values_ms
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_basicDefSemicolonSpan_lower	1	0.433	0.433	0.433	0.433	0.433
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_basicModuleRightBraceSpan_lower	1	0.344	0.344	0.344	0.344	0.344
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_basicMainDefSpan_lower	1	0.389	0.389	0.389	0.389	0.389
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_basicUnexpectedSpan_lower	1	0.346	0.346	0.346	0.346	0.346
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_lexerUnknownSpan_lower	1	0.340	0.340	0.340	0.340	0.340
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_importBoolModuleSpan_lower	1	0.316	0.316	0.316	0.316	0.316
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_importBoolModuleNameRefSpan_lower	1	0.334	0.334	0.334	0.334	0.334
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_importBoolExportMainSpan_lower	1	0.329	0.329	0.329	0.329	0.329
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_importBoolTypeSpan_lower	1	0.298	0.298	0.298	0.298	0.298
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_importBoolMainDefSpan_lower	1	0.307	0.307	0.307	0.307	0.307
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_importBoolSemicolonSpan_lower	1	0.314	0.314	0.314	0.314	0.314
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_importBoolDefEqualsSpan_lower	1	0.320	0.320	0.320	0.320	0.320
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_valueModuleSpan_lower	1	0.294	0.294	0.294	0.294	0.294
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_valueExportMainSpan_lower	1	0.307	0.307	0.307	0.307	0.307
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_valueImportModuleSpan_lower	1	0.342	0.342	0.342	0.342	0.342
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_valueImportIntSpan_lower	1	0.302	0.302	0.302	0.302	0.302
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_valueFirstDefSemicolonSpan_lower	1	0.340	0.340	0.340	0.340	0.340
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_valueDefTwoSpan_lower	1	0.307	0.307	0.307	0.307	0.307
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_valueDefMainSpan_lower	1	0.308	0.308	0.308	0.308	0.308
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_letModuleSpan_lower	1	0.320	0.320	0.320	0.320	0.320
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_letExportMainSpan_lower	1	0.340	0.340	0.340	0.340	0.340
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_letImportModuleSpan_lower	1	0.319	0.319	0.319	0.319	0.319
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_letImportIntSpan_lower	1	0.312	0.312	0.312	0.312	0.312
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_letInSpan_lower	1	0.338	0.338	0.338	0.338	0.338
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_letDefMainSpan_lower	1	0.312	0.312	0.312	0.312	0.312
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_typedModuleSpan_lower	1	0.365	0.365	0.365	0.365	0.365
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_typedExportMainSpan_lower	1	0.466	0.466	0.466	0.466	0.466
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_typedImportModuleSpan_lower	1	0.437	0.437	0.437	0.437	0.437
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_typedImportIntSpan_lower	1	0.317	0.317	0.317	0.317	0.317
