benchmark	path	metric	runs	min_ms	median_ms	max_ms	mean_ms	values_ms
fixture-cross-module-let	test/programs/packages/cross-module-let	program.cli.parse-args	5	0.132	0.146	0.725	0.259	0.132,0.145,0.146,0.147,0.725
fixture-cross-module-let	test/programs/packages/cross-module-let	program.cli.load-package	5	0.231	0.233	2.295	0.645	0.231,0.231,0.233,0.234,2.295
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module-graph	5	1.509	1.565	10.531	3.354	1.509,1.524,1.565,1.643,10.531
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module-order	5	0.095	0.096	0.212	0.119	0.095,0.096,0.096,0.097,0.212
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.normalize-type-families	5	0.135	0.144	0.341	0.182	0.135,0.142,0.144,0.148,0.341
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.reject-generalized-class-features	5	0.129	0.133	0.293	0.167	0.129,0.132,0.133,0.150,0.293
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.resolve	5	0.266	0.272	0.672	0.351	0.266,0.269,0.272,0.274,0.672
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.modules.distinct	5	0.103	0.104	0.278	0.139	0.103,0.103,0.104,0.108,0.278
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Prelude.cache	5	423.969	424.946	448.033	430.412	423.969,424.345,424.946,430.767,448.033
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module-interface.Prelude	5	0.136	0.139	0.142	0.139	0.136,0.137,0.139,0.141,0.142
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.preflight	5	0.117	0.121	0.126	0.122	0.117,0.121,0.121,0.123,0.126
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.import-scope	5	0.119	0.129	0.131	0.127	0.119,0.126,0.129,0.131,0.131
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.local-data	5	0.117	0.121	0.125	0.121	0.117,0.119,0.121,0.121,0.125
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.local-classes	5	0.119	0.120	0.133	0.124	0.119,0.119,0.120,0.129,0.133
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.local-defs	5	0.122	0.127	0.129	0.126	0.122,0.124,0.127,0.127,0.129
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.local-values	5	0.123	0.127	0.131	0.127	0.123,0.126,0.127,0.130,0.131
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.scopes	5	0.111	0.115	0.123	0.116	0.111,0.112,0.115,0.120,0.123
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.validations	5	0.116	0.123	0.129	0.122	0.116,0.118,0.123,0.126,0.129
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.derived-instances	5	0.128	0.134	0.140	0.134	0.128,0.130,0.134,0.139,0.140
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.instance-skeletons	5	0.134	0.137	0.143	0.138	0.134,0.137,0.137,0.139,0.143
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.finalize-context	5	0.199	0.212	0.217	0.210	0.199,0.208,0.212,0.214,0.217
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.constructor-bindings	5	0.139	0.141	0.144	0.141	0.139,0.139,0.141,0.143,0.144
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.operation.Core.instance_methods_group_finalize	5	0.158	0.168	0.173	0.167	0.158,0.166,0.168,0.171,0.173
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.instance-bindings	5	0.470	0.476	0.484	0.477	0.470,0.472,0.476,0.481,0.484
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.operation.Core.def_applyId_lower	5	0.137	0.145	0.155	0.144	0.137,0.139,0.145,0.146,0.155
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.operation.Core.defs_scc_classification	5	0.148	0.150	0.156	0.151	0.148,0.148,0.150,0.153,0.156
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.operation.Core.def_applyId	5	0.704	0.721	0.743	0.722	0.704,0.713,0.721,0.727,0.743
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.def-bindings	5	1.579	1.603	1.619	1.600	1.579,1.586,1.603,1.614,1.619
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.exports	5	0.113	0.117	0.123	0.118	0.113,0.114,0.117,0.123,0.123
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core	5	5.885	5.987	6.031	5.978	5.885,5.982,5.987,6.004,6.031
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module-interface.Core	5	0.093	0.097	0.098	0.097	0.093,0.097,0.097,0.098,0.098
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.preflight	5	0.088	0.097	0.098	0.094	0.088,0.089,0.097,0.098,0.098
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.import-scope	5	0.095	0.103	0.104	0.101	0.095,0.100,0.103,0.104,0.104
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.local-data	5	0.091	0.095	0.099	0.096	0.091,0.094,0.095,0.099,0.099
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.local-classes	5	0.094	0.103	0.104	0.102	0.094,0.103,0.103,0.104,0.104
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.local-defs	5	0.094	0.100	0.102	0.099	0.094,0.097,0.100,0.101,0.102
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.local-values	5	0.098	0.102	0.103	0.101	0.098,0.101,0.102,0.103,0.103
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.scopes	5	0.086	0.092	0.093	0.091	0.086,0.090,0.092,0.092,0.093
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.validations	5	0.092	0.097	0.100	0.097	0.092,0.096,0.097,0.098,0.100
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.derived-instances	5	0.100	0.108	0.110	0.107	0.100,0.106,0.108,0.110,0.110
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.instance-skeletons	5	0.102	0.109	0.115	0.109	0.102,0.109,0.109,0.111,0.115
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.finalize-context	5	0.153	0.156	0.158	0.156	0.153,0.154,0.156,0.158,0.158
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.constructor-bindings	5	0.104	0.109	0.114	0.109	0.104,0.106,0.109,0.113,0.114
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.operation.Main.instance_methods_group_finalize	5	0.129	0.135	0.139	0.135	0.129,0.133,0.135,0.138,0.139
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.instance-bindings	5	0.381	0.387	0.391	0.386	0.381,0.383,0.387,0.389,0.391
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.operation.Main.def_main_lower	5	0.127	0.133	0.134	0.131	0.127,0.128,0.133,0.133,0.134
